song_ranking,artist_name,song_title,track_spotify_ID,artist_spotify_ID,song_duration[ms],song_release_date,spotify_popularity,album_name,album_type,song_ID,artist_ID,album_ID
77,Dan + Shay,Pick Out A Christmas Tree,0stm5Y4Zln38uik4FuaCro,1ThjgakWDfCn4XcD7H0CT0,74110,2011-10-24,2,Cup for Us,album,77,77,77
78,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,06HL4z0CvFAxyc27GXpf02,225960,2021-11-12,84,Red (Taylor's Version),album,78,78,78
79,Jon Pardi,Tequila Little Time,15npbUjCgwt2lRvyrJvyxw,4MoAOfV4ROWofLG3a3hhBN,207161,2019-09-27,71,Heartache Medication,album,79,79,79
80,Jimmie Allen & Brad Paisley,Freedom Was A Highway,3J5jotqUAjU479WhAiNkpU,147nKr9upHZSSxqCzh9j7c,212720,2020-07-10,73,Bettie James,album,80,80,80
81,Priscilla Block,Just About Over You,4Ec0q0j8hRTCX4QQ5MiHSX,6BpvASijzSWj7gnZD4Dvf1,179213,2020-09-30,70,Just About Over You,single,81,81,81
82,Taylor Swift,Christmas Tree Farm (Old Timey Version),,,,,,,,82,82,82
83,Young Thug With Drake & Travis Scott,Bubbly,4KDNRh9Oor80z3XIxdWlui,50co4Is1HCEo8bhOyUWKpn,165066,2021-10-15,84,Punk,album,83,83,83
84,Polo G,Bad Man (Smooth Criminal),6RfhBNU1FPWTG7VESlfgOl,6AgTAQt8XS6jRWi4sX7w49,106000,2021-11-12,85,Bad Man (Smooth Criminal),single,84,84,84
85,Giveon,For Tonight,61Emqg95O9zo1GNOcyxq4Y,4fxd5Ee7UefO4CUXgwJ7IP,193821,2021-09-24,83,For Tonight,single,85,85,85
86,Drake Featuring Travis Scott,Fair Trade,40iJIUlhi6renaREYGeIDS,3TVXtAsR1Inumwj472S9r4,291175,2021-09-03,90,Certified Lover Boy,album,86,86,86
