song_ID,song_title,album_name,track_spotify_ID,artist_spotify_ID,song_ranking,spotify_popularity,song_duration[ms],song_release_date
77,Pick Out A Christmas Tree,Cup for Us,0stm5Y4Zln38uik4FuaCro,1ThjgakWDfCn4XcD7H0CT0,77,2.0,74110.0,2011-10-24
78,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),3z6XUommYDWPHeFhmhhT6j,06HL4z0CvFAxyc27GXpf02,78,84.0,225960.0,2021-11-12
79,Tequila Little Time,Heartache Medication,15npbUjCgwt2lRvyrJvyxw,4MoAOfV4ROWofLG3a3hhBN,79,71.0,207161.0,2019-09-27
80,Freedom Was A Highway,Bettie James,3J5jotqUAjU479WhAiNkpU,147nKr9upHZSSxqCzh9j7c,80,73.0,212720.0,2020-07-10
81,Just About Over You,Just About Over You,4Ec0q0j8hRTCX4QQ5MiHSX,6BpvASijzSWj7gnZD4Dvf1,81,70.0,179213.0,2020-09-30
82,Bubbly,Punk,4KDNRh9Oor80z3XIxdWlui,50co4Is1HCEo8bhOyUWKpn,83,84.0,165066.0,2021-10-15
83,"
Bad Man (Smooth Criminal)",Bad Man (Smooth Criminal),6RfhBNU1FPWTG7VESlfgOl,6AgTAQt8XS6jRWi4sX7w49,84,85.0,106000.0,2021-11-12
84,For Tonight,For Tonight,61Emqg95O9zo1GNOcyxq4Y,4fxd5Ee7UefO4CUXgwJ7IP,85,83.0,193821.0,2021-09-24
85,Fair Trade,Certified Lover Boy,40iJIUlhi6renaREYGeIDS,3TVXtAsR1Inumwj472S9r4,86,90.0,291175.0,2021-09-03
86,Poke It Out,Poke It Out (feat. J. Cole),1IeCWMwZs4rCmwPOjZYWN7,67nwj3Y5sZQLl72VNUHEYE,87,71.0,183333.0,2021-09-30
87,'Til You Can't,Human The Double Album,4k3lPl8YTKuY8c1HelVnm3,6zLBxLdl60ekBLpawtT63I,88,76.0,224213.0,2021-10-08
88,Scorpio,A Gangsta’s Pain: Reloaded,0BFGDkrXAneskCJdudSCro,3tJoFztHeIJkJWMrx0td2f,89,74.0,165772.0,2021-10-22
89,Woman,Planet Her,6Uj1ctrBOjOas8xZXGqKk4,5cj0lLjcoR7YOSnhnX0Po5,90,96.0,172626.0,2021-06-25
90,Memory I Don't Mess With,Memory I Don't Mess With,7BQE1P0NUalHSvFtrxasx9,5Zq7R5qmi58ByYyBQTlNuk,91,70.0,180616.0,2020-10-16
91,Heart On Fire,Heart,0ysCB1Jg4hli0XlEWlipo7,2IvkS5MXK0vPGnwyJsrEyV,92,71.0,258799.0,2021-04-16
92,Half Of My Hometown,half of my hometown,59xdsxc0QGW6TDA3ZuQ9tS,3RqBeV12Tt7A8xH3zBDDUF,93,70.0,231832.0,2021-03-26
93,Moth To A Flame,Moth To A Flame,2gpWyfu7eZ01zzncHpxOtA,1h6Cn3P4NGzXbaXidqURXs,94,93.0,234000.0,2021-10-22
94,Always Been You,Always Been You,2zpZkOV7sD9C4Cv0cukoHV,2yLzlEFtIS0Q9UkyBZdQA7,95,80.0,131824.0,2021-11-24
95,Who's In Your Head,Who's In Your Head,5nhW8I46uDE5sc5ouEbzao,7gOdHgIoIKoe4i9Tta6qdD,96,76.0,183536.0,2021-09-17
96,Baddest,"Sincerely, Kentrell",0sr0YMdDTNNr4Lv4VnI3C8,7wlFDEWiM5OoIAt8RSli8b,97,65.0,160000.0,2021-09-24
97,Maybach,Free Dem Boyz,2Qt8qG9SWPdtRiaWcPNJRm,45gHcnDnMC15sgx3VL7ROG,98,72.0,199093.0,2021-05-21
98,Volvi,Volví,2vmfvSoZBFAt9hhRoEByLi,1qto4hHid1P71emI6Fd8xi,99,92.0,230125.0,2021-08-03
99,Ex For A Reason,Still Over It,1De7cOMrdUnVpjWBaowMg4,57LYzLEk2LcFghVwuWbcuS,100,75.0,225502.0,2021-11-05
